time,position,velocity,excitation_force,wave_t,damping_fpto,stifness_fpto,u_latching,power_inst
148.04000000000002,0.23862185670452843,-0.031011639794162875,1.030184989685822,0.0582002603945141,56201.91395064773,0,0.0,54.05060600109459
148.06,0.23797258111692193,-0.03391692133407784,1.0163664435494408,0.057184963710520176,56201.91395064773,0,0.0,64.65229619393304
148.08,0.2372651446754912,-0.036827480085986936,1.002474057823667,0.0561862045420885,56201.91395064773,0,0.0,76.22459268998895
148.10000000000002,0.2364994566836207,-0.03974183470227374,0.9885097826163948,0.05520427242500516,56201.91395064773,0,0.0,88.76605743260892
148.12,0.23567546074063586,-0.04265859129573467,0.9744755025318763,0.05423942980427411,56201.91395064773,0,0.0,102.2737370391612
148.14000000000001,0.23479312860100437,-0.04557628823351815,0.9603730359564241,0.053291911819281876,56201.91395064773,0,0.0,116.74250601648517
148.16,0.23385245755653214,-0.04849340767548977,0.9462041344282774,0.05236192611615836,56201.91395064773,0,0.0,132.16501591115434
148.18,0.2328534732222838,-0.051408449890086395,0.9319704820915563,0.051449652687448354,56201.91395064773,0,0.0,148.5320323134463
148.20000000000002,0.23179622953659196,-0.05431993325428716,0.917673695235378,0.05055524373929523,56201.91395064773,0,0.0,165.8324667680951
148.22,0.2306808087610535,-0.057226394253625947,0.9033153219178744,0.04967882358619305,56201.91395064773,0,0.0,184.05341111985413
148.24,0.22950732148052447,-0.06012638748220373,0.8888968416759631,0.04882048857349582,56201.91395064773,0,0.0,203.18017418813125
148.26,0.22827590660313132,-0.06301848564265969,0.8744196653210473,0.047980307027688636,56201.91395064773,0,0.0,223.19632066614014
148.28,0.2269867313602577,-0.0659012795462042,0.8598851348203046,0.047158319234487156,56201.91395064773,0,0.0,244.08371214226693
148.3,0.2256399913065564,-0.06877337811258998,0.8452945232644371,0.04635453744482324,56201.91395064773,0,0.0,265.82255014115117
148.32,0.2242359103199445,-0.07163340837012454,0.8306490349210516,0.04556894590865253,56201.91395064773,0,0.0,288.391421084781
148.34,0.222774740601597,-0.07448001545568231,0.815949805374078,0.04480150093660597,56201.91395064773,0,0.0,311.7673430742432
148.36,0.2212567626759588,-0.07731186261468018,0.8011979017491523,0.04405213098942709,56201.91395064773,0,0.0,335.92581439400107
148.38,0.2196822853907391,-0.08012763120108987,0.7863943230240119,0.043320736795071244,56201.91395064773,0,0.0,360.84086364275475
148.4,0.21805164591690435,-0.08292602067744982,0.7715400004243269,0.04260719149341978,56201.91395064773,0,0.0,386.4851013953891
148.42000000000002,0.21636520974869147,-0.0857057486148411,0.7566357979041938,0.041911340808440806,56201.91395064773,0,0.0,412.82977330172065
148.44,0.21462337070360182,-0.08846555069289971,0.7416825127107076,0.04123300324766084,56201.91395064773,0,0.0,439.8448145300337
148.46,0.21282655092239322,-0.09120418069982801,0.7266808760321585,0.04057197032874623,56201.91395064773,0,0.0,467.49890546374104
148.48,0.21097520086909743,-0.09392041053236748,0.7116315537292377,0.039928006833009844,56201.91395064773,0,0.0,495.7595285606949
148.5,0.2090697993309999,-0.09661303019582983,0.6965351471481519,0.039300851085592683,56201.91395064773,0,0.0,524.5930262873377
148.52,0.2090697993309999,-0.09661303019582983,0.681392194015571,0.038690215262096886,56201.91395064773,0,1.0,524.5930262873377
148.54000000000002,0.20720431585032487,-0.09005328136751274,0.666203169413357,0.038095785721334596,56201.91395064773,0,1.0,455.7746752218742
148.56,0.20546311640751624,-0.08417499400614464,0.6509684868333021,0.03751722336395628,56201.91395064773,0,1.0,398.21470557812097
148.58,0.20383323535699244,-0.07891109467875138,0.6356884993097766,0.03695416401656856,56201.91395064773,0,1.0,349.967118618794
148.60000000000002,0.2023012078420147,-0.07419192911380616,0.6203635006299429,0.036406218841033434,56201.91395064773,0,1.0,309.36019505528856
148.62,0.20085672028638513,-0.06996413071921785,0.604993726620049,0.03587297476858292,56201.91395064773,0,1.0,275.1072215553759
148.64000000000001,0.1994921613191848,-0.06618830012198881,0.5895793565057725,0.03535399495826151,56201.91395064773,0,1.0,246.2144631140686
148.66,0.19820012962956565,-0.06282612410795288,0.5741205143469725,0.03484881927942608,56201.91395064773,0,1.0,221.83580371450842
148.68,0.19697343396673495,-0.0598403756217321,0.5586172705434166,0.034356964817718924,56201.91395064773,0,1.0,201.2517787752267
148.70000000000002,0.1958050931399684,-0.057194913766771716,0.5430696434114456,0.03387792640412298,56201.91395064773,0,1.0,183.85096966298678
148.72,0.19468833601860427,-0.054854683805323615,0.5274776008296169,0.03341117716664838,56201.91395064773,0,1.0,169.1136011955134
148.74,0.19361660153203905,-0.05278571715843857,0.5118410619507926,0.03295616910400203,56201.91395064773,0,1.0,156.59718770111758
148.76,0.19258353866973826,-0.050955131405988535,0.4961598989807729,0.03251233368091118,56201.91395064773,0,1.0,145.9240778431155
148.78,0.19158300648122445,-0.04933113028664289,0.48043393901980946,0.03207908244438355,56201.91395064773,0,1.0,136.770753057638
148.8,0.19061064354244286,-0.04789111757522485,0.46466296596648976,0.03165580766043941,56201.91395064773,0,1.0,128.902413573352
148.82,0.18966465270416544,-0.046625753891172,0.4488467224815409,0.03124188297069102,56201.91395064773,0,1.0,122.18076489063425
148.84,0.1887422997535294,-0.0455208565322402,0.43298491200941575,0.030836664068169206,56201.91395064773,0,1.0,116.45870491363131
148.86,0.1878409266740895,-0.04456263844209672,0.417077200856421,0.03043948939179591,56201.91395064773,0,1.0,111.60737624277488
148.88,0.18695796229510347,-0.043737763266765636,0.40112322032236913,0.030049680838832492,56201.91395064773,0,1.0,107.5138081517296
148.9,0.18609092229152865,-0.0430333453546252,0.38512256888416946,0.029666544494676067,56201.91395064773,0,1.0,104.07857164297987
148.92000000000002,0.18523740918402937,-0.04243694975641487,0.3690748144294294,0.02928937137933072,56201.91395064773,0,1.0,101.21372922370699
148.94,0.184395112338973,-0.041936592225231106,0.3529794965371612,0.028917438209856063,56201.91395064773,0,1.0,98.84105655400285
148.96,0.18356180796842664,-0.04152073921652592,0.33683612880363545,0.028550008178073398,56201.91395064773,0,1.0,96.89051391879029
148.98,0.1827353668787706,-0.041178347946100084,0.32064420121149506,0.02818633174287441,56201.91395064773,0,1.0,95.29913168638822
149.0,0.18191465855252015,-0.040903540357267405,0.30440318253901777,0.027825647436343786,56201.91395064773,0,1.0,94.03140052332297
149.02,0.18191465855252015,-0.040903540357267405,0.28811252280767086,0.027467182682977445,56201.91395064773,0,0.0,94.03140052332297
149.04000000000002,0.181057496750528,-0.044812664783626756,0.2717716557652393,0.027110154631233858,56201.91395064773,0,0.0,112.86327433324372
149.06,0.1801221576571406,-0.048720926132404016,0.2553800014023546,0.026753770996691156,56201.91395064773,0,0.0,133.40809294726748
149.08,0.1791086794749755,-0.05262623170186208,0.2389369684992676,0.02639723091594555,56201.91395064773,0,0.0,155.65233951346124
149.10000000000002,0.1780171419116048,-0.0565265125361707,0.2224419572014366,0.026039725810587246,56201.91395064773,0,0.0,179.57897556034175
149.12,0.1768476587724539,-0.06041981138583473,0.2058943616198965,0.025680440260312777,56201.91395064773,0,0.0,205.16809974341365
149.14000000000001,0.17560039473232053,-0.06430413339611134,0.1892935724552804,0.0253185528845347,56201.91395064773,0,0.0,232.39612656377412
149.16,0.1742755606013687,-0.06817743031914439,0.1726389796417542,0.024953237231502105,56201.91395064773,0,0.0,261.23560102928457
149.18,0.17287340293128134,-0.07203769082787224,0.155929975008797,0.024583662674269608,56201.91395064773,0,0.0,291.65583648024466
149.20000000000002,0.17139420401527336,-0.07588294051598925,0.13916595495792097,0.024208995312551423,56201.91395064773,0,0.0,323.6230221182123
149.22,0.1698382818880864,-0.07971124189796228,0.122346323151851,0.02382839887975128,56201.91395064773,0,0.0,357.1003341889807
149.24,0.16820599032598174,-0.08352069440904698,0.10547049321303983,0.02344103565421825,56201.91395064773,0,0.0,392.0480505325732
149.26,0.16649771884675604,-0.0873094344052498,0.08853789142952485,0.023046067373990134,56201.91395064773,0,0.0,428.4236682183036
149.28,0.1647138927097228,-0.09107563516337122,0.07154795946437305,0.022642656154081585,56201.91395064773,0,0.0,466.1820239900678
149.3,0.1628549729157291,-0.09481750688096804,0.054500157067142084,0.022229965405551305,56201.91395064773,0,0.0,505.27541724968114
149.32,0.16092145620714868,-0.09853329667636967,0.037393964783700114,0.02180716075545447,56201.91395064773,0,0.0,545.6537353141861
149.34,0.15891387506787338,-0.10222128858869378,0.020228886661880083,0.02137341096682365,56201.91395064773,0,0.0,587.2645806866874
149.36,0.15683279772332953,-0.10587980357781471,0.0030044529507542556,0.02092788885787178,56201.91395064773,0,0.0,630.0534000855512
149.38,0.15467882814047024,-0.10950719952437937,-0.014279777210135073,0.020469772219492855,56201.91395064773,0,0.0,673.9636149837507
149.4,0.15245260602776559,-0.11310187122982263,-0.031624213113476594,0.019998244730305127,56201.91395064773,0,0.0,718.9367534140044
149.42000000000002,0.15015480683522126,-0.11666225041633635,-0.04902922982206714,0.019512496868295794,56201.91395064773,0,0.0,764.9125828005814
149.44,0.14778614175436958,-0.120186805726885,-0.06649516552436746,0.019011726818290966,56201.91395064773,0,0.0,811.8292435857417
149.46,0.14534735771825905,-0.12367404272522058,-0.08402231891088767,0.01849514137433815,56201.91395064773,0,0.0,859.6233834224935
149.48,0.1428392374014782,-0.12712250389584762,-0.10161094657294084,0.01796195683628316,56201.91395064773,0,0.0,908.2302917105269
149.5,0.14026259922012774,-0.13053076864406282,-0.11926126042811751,0.017411399899551837,56201.91395064773,0,0.0,957.5840342599471
149.52,0.14026259922012774,-0.13053076864406282,-0.13697342517379996,0.01684270853743126,56201.91395064773,0,1.0,957.5840342599471
149.54000000000002,0.13774459087204088,-0.12143206429049007,-0.15474755577178576,0.01625513287499561,56201.91395064773,0,1.0,828.7391611977171
149.56,0.13539906873504903,-0.11326888549236644,-0.17258371496695443,0.015647936053823492,56201.91395064773,0,1.0,721.061587323758
149.58,0.1332082276900398,-0.10594917669338884,-0.19048191084209845,0.015020395086771807,56201.91395064773,0,1.0,630.8793004932713
149.60000000000002,0.13115358084173168,-0.09937735738652104,-0.20844209441173495,0.014371801701935132,56201.91395064773,0,1.0,555.0421867624503
149.62,0.12922108848798378,-0.09348083630444563,-0.22646415725732402,0.013701463175065702,56201.91395064773,0,1.0,491.12979707413336
149.64000000000001,0.127400233413566,-0.08820523036321115,-0.24454792920649257,0.013008703149653675,56201.91395064773,0,1.0,437.26003253197473
149.66,0.12568079744371205,-0.08349770084715297,-0.26269317605864884,0.012292862443867323,56201.91395064773,0,1.0,391.8322156354846
149.68,0.12405286144409886,-0.079306953408833,-0.28089959735943093,0.011553299843664589,56201.91395064773,0,1.0,353.4871566456098
149.70000000000002,0.12250680532086382,-0.07558323806908858,-0.2991668242262888,0.010789392881277062,56201.91395064773,0,1.0,321.0717483546665
149.72,0.12103330802059709,-0.07227834921700937,-0.31749441722775945,0.01000053859836635,56201.91395064773,0,1.0,293.60777760708805
149.74,0.11962334753033575,-0.06934562560992628,-0.33588186431846656,0.009186154293130591,56201.91395064773,0,1.0,270.2646513033405
149.76,0.11826820087757832,-0.06673995037344305,-0.3543285788322727,0.008345678250637313,56201.91395064773,0,1.0,250.33574400187166
149.78,0.11695944413026858,-0.06441775100140257,-0.372833897535723,0.007478570455746919,56201.91395064773,0,1.0,233.21808361610533
149.8,0.11569147105716035,-0.06235001633281717,-0.39139707874395085,0.0065843132878789816,56201.91395064773,0,1.0,218.48631949278942
149.82,0.11446161721942237,-0.06052293910042215,-0.4100173005010491,0.005662412197045491,56201.91395064773,0,1.0,205.86908089454803
149.84,0.11326606865816867,-0.058916768363094604,-0.42869365882702115,0.004712396360474987,56201.91395064773,0,1.0,195.08727408041733
149.86,0.11210113575503776,-0.05751239170927598,-0.44742516603343213,0.0037338193191596243,56201.91395064773,0,1.0,185.897676973903
149.88,0.11096325344711569,-0.05629133636769736,-0.4662107491093726,0.002726259593820099,56201.91395064773,0,1.0,178.0878224767077
149.9,0.10984898122693139,-0.05523576920737558,-0.4850492481798823,0.001689321279618134,56201.91395064773,0,1.0,171.47148868076124
149.92000000000002,0.10875500314246636,-0.05432849673762355,-0.5039394150384282,0.0006226346190942094,56201.91395064773,0,1.0,165.8847575357626
149.94,0.10767812779714969,-0.05355296510804415,-0.5228799117553257,-0.0004741434472447983,56201.91395064773,0,1.0,161.18259709620193
149.96,0.1066152883498536,-0.052893260108527865,-0.5418693093638652,-0.00160132875319678,56201.91395064773,0,1.0,157.23592408176938
149.98,0.10556359850434746,-0.05233439651278375,-0.5609060866252346,-0.002759209402503413,56201.91395064773,0,1.0,153.930807178166
150.0,0.10452171300248293,-0.05186934827898483,-0.579988628874606,-0.003948045288357682,56201.91395064773,0,1.0,151.20727549671238
150.02,0.10452171300248293,-0.05186934827898483,-0.5991152269490355,-0.005168067637241735,56201.91395064773,0,0.0,151.20727549671238
150.04000000000002,0.10343595885216657,-0.05670532313386451,-0.6182840761990157,-0.006419478577502609,56201.91395064773,0,0.0,180.71689864663438
150.06,0.10225353820311973,-0.061535564964451006,-0.637493275585078,-0.007702450733163028,56201.91395064773,0,0.0,212.81561487358982
150.08,0.10097459208302006,-0.06635744131511556,-0.6567408268603997,-0.009017126843302425,56201.91395064773,0,0.0,247.47445072342302
150.10000000000002,0.0995993137943316,-0.07116834174890602,-0.6760246338407483,-0.010363619407404908,56201.91395064773,0,0.0,284.65892117318833
